Brand,Model,Model_codename,Core,Thread,Source,Price,Rating,Sold
AMD,ATHLON,3000G,2,4,Advice,1890,5,190
AMD,RYZEN 3,3200G,4,4,Advice,3390,4.8,62
AMD,RYZEN 3,4350G,4,8,Advice,3790,5,7
AMD,RYZEN 5,4500,6,12,Advice,3290,0,0
AMD,RYZEN 5,4600G,4,12,Advice,3908,5,61
AMD,RYZEN 5,5500,6,12,Advice,5166,5,10
AMD,RYZEN 5,5600,6,12,Advice,5532,5,85
AMD,RYZEN 5,5600G,6,12,Advice,5830,4.9,227
AMD,RYZEN 5,5600X,6,12,Advice,6145,4.95,669
AMD,RYZEN 5,7600,6,12,Advice,9389,5,3
AMD,RYZEN 7,5700G,8,16,Advice,8414,5,12
AMD,RYZEN 7,5800X,8,16,Advice,9550,4.9,183
AMD,RYZEN 7,7700,8,16,Advice,13347,0,1
AMD,RYZEN 9,5900X,12,24,Advice,11977,4.9,142
AMD,RYZEN 9,5950X,16,32,Advice,19184,4.8,46
AMD,RYZEN 9,7900,12,24,Advice,17610,0,1
AMD,RYZEN THREADRIPPER,3975WX,32,64,Advice,92900,0,0
INTEL,CELERON,G4900,2,2,Advice,1573,0,5
INTEL,CORE I3,10100,4,8,Advice,4040,4.9,132
INTEL,CORE I3,10100F,4,8,Advice,2650,4.9,139
INTEL,CORE I3,10105,4,8,Advice,4212,5,63
INTEL,CORE I3,10105F,4,8,Advice,2766,4.95,183
INTEL,CORE I3,12100F,4,8,Advice,3745,5,14
INTEL,CORE I3,13100,4,8,Advice,5775,0,0
INTEL,CORE I3,13100F,4,8,Advice,4659,0,0
INTEL,CORE I3,3240,2,4,Advice,1269,5,23
INTEL,CORE I3,9100,4,4,Advice,4050,0,0
INTEL,CORE I5,10400F,6,12,Advice,4365,0,4
INTEL,CORE I5,10500,6,12,Advice,6290,4.9,31
INTEL,CORE I5,11400,6,12,Advice,6344,0,0
INTEL,CORE I5,11400F,6,12,Advice,5590,5,81
INTEL,CORE I5,11500,6,12,Advice,7095,5,5
INTEL,CORE I5,11600K,6,12,Advice,6181,5,1
INTEL,CORE I5,12400,6,12,Advice,7663.5,4.95,250
INTEL,CORE I5,12400F,6,12,Advice,6750,5,904
INTEL,CORE I5,12500,6,12,Advice,8313,0,0
INTEL,CORE I5,12600,6,12,Advice,9328,4.9,57
INTEL,CORE I5,13400,10,16,Advice,9328,2.5,1
INTEL,CORE I5,13400F,10,16,Advice,8262,2.5,2
INTEL,CORE I5,13500,14,20,Advice,10140,5,7
INTEL,CORE I5,13600K,14,20,Advice,13692,5,36
INTEL,CORE I5,2500,4,4,Advice,1715,4.5,7
INTEL,CORE I5,6400,4,4,Advice,3441,5,13
INTEL,CORE I5,8400,6,6,Advice,5065,0,0
INTEL,CORE I5,9400F,6,6,Advice,4490,5,3
INTEL,CORE I7,11700,8,16,Advice,9390,5,19
INTEL,CORE I7,13700,16,24,Advice,16331,5,7
INTEL,CORE I7,13700F,16,24,Advice,15174,5,1
INTEL,CORE I7,13700KF,16,24,Advice,16646,5,15
INTEL,CORE I9,12900,16,24,Advice,19793,5,8
INTEL,CORE I9,12900F,16,24,Advice,19184,0,0
INTEL,CORE I9,13900,24,32,Advice,24116,0,1
INTEL,CORE I9,13900F,24,32,Advice,22969,0,0
INTEL,CORE I9,13900K,24,32,Advice,25883,5,6
