Name,Price,Sold,Rating,Brand,Type,Source
"Antec DF700 Flux, Mid Tower Computer Case, ATX Gaming Case, USB3.0 x 2, 360 mm Radiator Support, 3 x 120 mm ARGB, 1 x 120 mm Reverse & 1 x 120 mm Fans Included",3923,1146,4.7,antec,Computercase,Amazon
"Antec NX200 M, Micro-ATX Tower, Mini-Tower Computer Case with 120mm Rear Fan Pre-Installed, Mesh Design in Front Panel Ventilated Airflow, NX Series, Black, (CJ11132623)",2496,576,4.6,antec,Computercase,Amazon
Corsair 4000D Airflow Tempered Glass Mid-Tower ATX PC Case - Black,3210,9274,4.8,corsair,Computercase,Amazon
NZXT H510 - CA-H510B-BR - Compact ATX Mid-Tower PC Gaming Case - Front I/O USB Type-C Port - Tempered Glass Side Panel - Cable Management System - Water-Cooling Ready - Black/Red,2139,30291,4.7,nzxt,Computercase,Amazon
"HYTE Y60 Modern Aesthetic Dual Chamber Panoramic Tempered Glass Mid-Tower ATX Computer Gaming Case with PCIE 4.0 Riser Cable Included, White (CS-HYTE-Y60-BW)",7134,375,4.8,hyte,Computercase,Amazon
"Zalman S3 ATX Mid Tower Computer Case w/ Tempered Glass Side Panels & 3X Pre-Installed 120mm Fans for Desktop Workstations Gaming Maximum Airflow - (Tempered Glass - 3 Fans),S3 TG",2139,1191,4.3,zalman,Computercase,Amazon
"MUSETEX Mid-Tower ATX PC Case Pre-Installed 6pcs 120mm ARGB Fans, Mesh Computer Gaming Case, Opening Tempered Glass Side Panels, USB 3.0 x 2, Black, TW8-S6-B",5350,826,4.5,musetex,Computercase,Amazon
"Zalman I3 NEO Black Edition Airflow ATX Computer Case with Mesh Front Panel, Magnetic Swing-Open Tempered Glass Side Panel, 4X RGB 120mm Fans Pre-Installed, Mid Tower for Gaming or Office Work",2318,128,4.3,zalman,Computercase,Amazon
Corsair iCUE 4000X RGB Mid-Tower ATX PC Case - Black,4280,6457,4.8,corsair,Computercase,Amazon
"Cooler Master MasterBox Q300L Micro-ATX Tower with Magnetic Design Dust Filter, Transparent Acrylic Side Panel, Adjustable I/O & Fully Ventilated Airflow, Black (MCB-Q300L-KANN-S00)",2496,13706,4.5,cooler master,Computercase,Amazon
"MUSETEX ATX PC Case Pre-Installed 6Pcs 120mm ARGB Fans, Mid-Tower Computer Gaming Case, USB 3.0 Tempered Glass Phantom Black Computer Case, MN6-B",4066,3040,4.5,musetex,Computercase,Amazon
"B BELK Case for Newest MacBook Pro 16 inch Case 2021 2022 A2485 M1 Pro/Max with Touch ID, Corner Protective Clear Laptop Plastic Hard Shell + Keyboard Cover + Screen Protector + Microfiber Cloth",452,1720,4.3,b belk,Computercase,Amazon
Thermaltake Versa H17 Black SPCC Micro ATX Mini Tower Gaming Computer Case CA-1J1-00S1NN-00,1783,579,4.5,thermaltake,Computercase,Amazon
"ASUS TUF Gaming GT301 Mid-Tower Compact Case for ATX Motherboards with honeycomb Front Panel, 120mm AURA Addressable RBG fans, headphone hanger, and 360mm radiator support, 2 x USB 3.2",3401,2839,4.7,asus,Computercase,Amazon
"Antec NX200 M, Micro-ATX Tower, Mini-Tower Computer Case with 120mm Rear Fan Pre-Installed, Mesh Design in Front Panel Ventilated Airflow, NX Series, Black, (CJ11132623)",2496,576,4.6,antec,Computercase,Amazon
"MUSETEX ATX PC Case Pre-Installed 6Pcs 120mm ARGB Fans, Computer Gaming Case with Tempered Glass Side & Front Panels, Metal Honeycomb Mesh, USB3.0, S6-B",3923,3037,4.4,musetex,Computercase,Amazon
"Antec DP503 ATX Mid Tower PC Case, Type-C Gen2, 3 x 120mm ARGB Fans with ARGB & PWM Controller, Up to 2 x 360mm Radiator, GPU Bracket, EATX Gaming PC Case, Black",4280,35,4.4,antec,Computercase,Amazon
"Ytonet Laptop Case, 15.6 inch TSA Laptop Sleeve Water Resistant Durable Computer Carrying Case Compatible for HP, Dell, Lenovo, Asus Notebook, Gifts for Men Women, Grey",570,18513,4.6,ytonet,Computercase,Amazon
"Thermaltake S100 Tempered Glass Snow Edition Micro-ATX mini-Tower Computer Case with 120mm Rear Fan Pre-Installed CA-1Q9-00S6WN-00, White",2496,2387,4.6,thermaltake,Computercase,Amazon
"Zalman T7 ATX Mid Tower Premium Computer PC Case with Pre-Installed Two(2) 120mm Fans, Tinted Acrylic Side Panel & Patterned Mesh Design, Black",1890,354,4.1,zalman,Computercase,Amazon
"UESWILL Smooth Matte Hard Shell Case Cover Compatible with 2010-2017 Release MacBook Air 13 inch (Model A1466 / A1369) + Microfibre Cleaning Cloth, Serenity Blue",499,14528,4.3,ueswill,Computercase,Amazon
"GIM ATX Mid-Tower Case White Gaming PC Case 2 Tempered Glass Panels & Front Panel RGB Strip Gaming Computer Case Desktop Case USB 3.0 I/O Port, Magnet Dust Filter, Water-Cooling Ready",5707,294,4.6,gim,Computercase,Amazon
