Brand,Model,Model_codename,Core,Thread,Source,Price,Rating,Sold
AMD,FX,4130,4,4,Amazon,2069,5,3
AMD,FX,FX8350,8,8,Amazon,7991,4.4,53
AMD,PHENOM,X4 965,4,2,Amazon,2640,4.9,21
AMD,RYZEN 3,3100,4,8,Amazon,5350,4.7,3207
AMD,RYZEN 3,3200G,4,24,Amazon,3388,4.7,4282
AMD,RYZEN 3,4100,4,8,Amazon,3495,4.4,87
AMD,RYZEN 5,3600,6,2,Amazon,4137,4.8,41900
AMD,RYZEN 5,4500,6,2,Amazon,3745,4.6,406
AMD,RYZEN 5,4600G,6,2,Amazon,3601,4.5,172
AMD,RYZEN 5,5500,6,2,Amazon,3922,4.7,1005
AMD,RYZEN 5,5600,6,2,Amazon,5635,4.8,1601
AMD,RYZEN 5,5600G,6,2,Amazon,5220,4.8,9205
AMD,RYZEN 5,5600X,6,2,Amazon,7847,4.8,18010
AMD,RYZEN 5,7600X,6,2,Amazon,8560,4.6,74
AMD,RYZEN 7,3800X,8,6,Amazon,14233,4.8,8217
AMD,RYZEN 7,5700G,8,6,Amazon,6367,4.8,3338
AMD,RYZEN 7,5700X,8,6,Amazon,8168,4.8,1199
AMD,RYZEN 7,5800X3,8,6,Amazon,10166,4.8,12822
AMD,RYZEN 7,5800X3D,8,6,Amazon,12734,4.8,884
AMD,RYZEN 7,7700X,8,6,Amazon,12243,4.9,121
AMD,RYZEN 9,3900X,2,4,Amazon,17800,4.9,12521
AMD,RYZEN 9,5900X,2,4,Amazon,12395,4.8,7882
AMD,RYZEN 9,5950X,6,2,Amazon,17800,4.8,3112
AMD,RYZEN 9,7900X,2,4,Amazon,16551,4.6,69
AMD,RYZEN 9,7950X,6,2,Amazon,20297,4.5,151
INTEL,CELERON,5900,2,2,Amazon,886,4.5,115
INTEL,CELERON,G5905,2,2,Amazon,998,4.6,219
INTEL,CELERON,G5920,2,2,Amazon,1246,4.6,58
INTEL,CORE 2,Q9550,2,2,Amazon,1712,4.3,47
INTEL,CORE I3,10100,4,8,Amazon,3530,4.8,3923
INTEL,CORE I3,10100F,4,8,Amazon,2817,4.7,2314
INTEL,CORE I3,10105,4,8,Amazon,3531,4.5,160
INTEL,CORE I3,10105F,4,8,Amazon,3067,4.7,239
INTEL,CORE I3,12100F,4,8,Amazon,3994,4.7,488
INTEL,CORE I3,9100F,4,4,Amazon,5279,4.7,3189
INTEL,CORE I5,10400,6,12,Amazon,5189,4.75,4229
INTEL,CORE I5,10400F,6,12,Amazon,4469,4.75,4560
INTEL,CORE I5,10600K,6,12,Amazon,6599,4.8,1795
INTEL,CORE I5,11400,6,12,Amazon,5277,4.8,1882
INTEL,CORE I5,11400F,6,12,Amazon,5015,4.8,728
INTEL,CORE I5,11600,6,12,Amazon,9631,4.8,24
INTEL,CORE I5,11600KF,6,12,Amazon,7025,4.8,142
INTEL,CORE I5,12400,6,12,Amazon,6705,4.8,515
INTEL,CORE I5,12400,18,12,Amazon,6259,4.75,1080
INTEL,CORE I5,12600K,10,12,Amazon,8846,4.8,849
INTEL,CORE I5,12600KF,10,12,Amazon,8131,4.9,466
INTEL,CORE I5,13600K,6,12,Amazon,11414,4.7,94
INTEL,CORE I5,13600KF,14,20,Amazon,11014,5,74
INTEL,CORE I5,6500,4,6,Amazon,3477,4.45,1689
INTEL,CORE I5,7500,4,4,Amazon,4102,3.7,34
INTEL,CORE I5,7500,4,6,Amazon,4102,3.7,34
INTEL,CORE I5,9400,6,6,Amazon,9631,4.8,2639
INTEL,CORE I5,9400F,6,6,Amazon,5536,4.7,6103
INTEL,CORE I5,9600K,6,6,Amazon,8918,4.8,8010
INTEL,CORE I7,10700F,8,16,Amazon,10228,4.7,506
INTEL,CORE I7,10700KF,8,16,Amazon,10665,4.8,815
INTEL,CORE I7,11700,8,16,Amazon,10447,4.7,219
INTEL,CORE I7,11700F,8,16,Amazon,10734,4.5,86
INTEL,CORE I7,11700K,8,16,Amazon,10415,4.8,1153
INTEL,CORE I7,12700,12,20,Amazon,11626,4.5,52
INTEL,CORE I7,12700F,8,20,Amazon,10344,4.9,163
INTEL,CORE I7,12700K,12,20,Amazon,11127,4.9,1361
INTEL,CORE I7,12700KF,8,20,Amazon,9874,4.8,853
INTEL,CORE I7,12700KF,12,20,Amazon,9874,4.8,861
INTEL,CORE I7,13700K,16,24,Amazon,15267,4.7,74
INTEL,CORE I7,13700KF,16,24,Amazon,14268,4.6,36
INTEL,CORE I7,4770,8,8,Amazon,2853,4.3,153
INTEL,CORE I7,4790,4,8,Amazon,3923,4.4,86
INTEL,CORE I7,6700,4,8,Amazon,5069,4.35,81
INTEL,CORE I7,6700K,4,8,Amazon,6849,4.1,21
INTEL,CORE I7,6900K,8,8,Amazon,6991,4.2,67
INTEL,CORE I7,9700,8,16,Amazon,14233,4.7,1073
INTEL,CORE I9,10850K,10,24,Amazon,10701,4.8,1436
INTEL,CORE I9,10900K,10,20,Amazon,12449,4.7,1047
INTEL,CORE I9,11900K,8,24,Amazon,14233,4.7,1065
INTEL,CORE I9,11900KF,8,24,Amazon,14569,4.8,141
INTEL,CORE I9,12900K,16,24,Amazon,14625,4.8,959
INTEL,CORE I9,12900KF,16,24,Amazon,17300,4.7,363
INTEL,CORE I9,12900KS,16,24,Amazon,18014,4.3,103
INTEL,CORE I9,13900K,24,32,Amazon,21402,4.5,79
INTEL,CORE I9,13900KF,24,24,Amazon,20475,4.5,23
INTEL,PENTIUM,6400,2,4,Amazon,1888,4.6,399
INTEL,PENTIUM,G4400,2,2,Amazon,2096,4.5,1180
INTEL,XENON,2690V2,10,20,Amazon,1783,4.8,11
INTEL,XENON,4210R,10,20,Amazon,18330,0,0
