Brand,Model,Model_codename,Core,Thread,Source,Price,Rating,Sold
AMD,RYZEN 3,3200G,4,4,BaNANA,3790,0,0
AMD,RYZEN 5,3500,6,6,BaNANA,5190,4.7,45
AMD,RYZEN 5,3600,6,12,BaNANA,6440,4.8,58
AMD,RYZEN 5,4600G,6,12,BaNANA,5750,5,1
AMD,RYZEN 5,5600,6,12,BaNANA,7290,0,1
AMD,RYZEN 5,5600G,6,12,BaNANA,7390,4.6,28
AMD,RYZEN 5,7600X,6,12,BaNANA,12490,0,0
AMD,RYZEN 7,5700G,8,16,BaNANA,10900,4.9,15
AMD,RYZEN 7,5700X,8,16,BaNANA,10800,5,3
AMD,RYZEN 7,7700X,8,12,BaNANA,16490,0,0
AMD,RYZEN 9,7950X,16,32,BaNANA,28900,0,0
INTEL,CELERON,G6900,2,2,BaNANA,1990,0,0
INTEL,CORE I3,10105,4,8,BaNANA,4350,0,1
INTEL,CORE I3,12100,4,8,BaNANA,5390,5,5
INTEL,CORE I3,12100F,4,8,BaNANA,3990,4.5,5
INTEL,CORE I5,10400F,6,12,BaNANA,5190,4.8,34
INTEL,CORE I5,11400,6,12,BaNANA,6590,5,15
INTEL,CORE I5,11400F,6,12,BaNANA,5690,5,10
INTEL,CORE I5,11600K,6,12,BaNANA,9250,5,5
INTEL,CORE I5,11600KF,6,12,BaNANA,7890,5,3
INTEL,CORE I5,12400,6,12,BaNANA,8150,5,4
INTEL,CORE I5,12400F,6,12,BaNANA,7190,5,10
INTEL,CORE I5,12500,6,12,BaNANA,8550,4.6,8
INTEL,CORE I5,12600K,10,16,BaNANA,11600,5,2
INTEL,CORE I5,12600KF,10,16,BaNANA,10500,0,1
INTEL,CORE I5,13600KF,14,20,BaNANA,12990,5,2
INTEL,CORE I7,11700F,8,16,BaNANA,10500,4.8,6
INTEL,CORE I7,12700,12,20,BaNANA,14200,5,2
INTEL,CORE I7,12700F,12,20,BaNANA,12900,0,1
INTEL,CORE I7,12700KF,12,20,BaNANA,15600,0,0
INTEL,CORE I7,13700K,16,24,BaNANA,18600,5,1
INTEL,CORE I7,13700KF,16,24,BaNANA,17490,0,1
INTEL,CORE I9,11900F,8,16,BaNANA,16500,5,4
INTEL,CORE I9,11900KF,8,16,BaNANA,17500,5,10
INTEL,CORE I9,12900F,16,24,BaNANA,19400,0,0
INTEL,CORE I9,12900K,16,24,BaNANA,23400,5,2
INTEL,CORE I9,12900KF,16,24,BaNANA,21500,0,0
INTEL,CORE I9,12900KS,16,24,BaNANA,30500,0,0
INTEL,CORE I9,13900KF,24,32,BaNANA,24790,0,0
INTEL,PENTIUM,7G7400,2,4,BaNANA,2790,0,0
