Name,Price,Sold,Rating,Brand,Type,Source
4GB (4GBX1) DDR3 1600mhz Ram (memory) Kingston Fury Beast DDR3 (Blue) (KF316C10B/4),1290,14,0,kingston,Ram,JIB
16GB (8GBX2) DDR5 5600MHz RAM (memory) Kingston Fury Beast DDR5 (Black) (KF556C40BBK2-16),4990,31,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3600MHz Ram (memory) G.skill Trident Z (F4-3600C16D-32GTRG),11900,7,0,g.skill,Ram,JIB
32GB (16GBX2) DDR5 5600MHz RAM (memory) G.skill Trident Z5 RGB (Metallic Silver) (F5-5600U36366GX2-TZ5RS),16900,4,0,g.skill,Ram,JIB
32GB (16GBX2) DDR5 4800MHz RAM (memory) Thermaltake Tough RC DDR5 (Black) (RA50D516GX2-4800C40A),12900,1,0,thermaltake,Ram,JIB
32GB (16GBX2) DDR5 5600MHz RAM (memory) G.skill Trident Z5 RGB (Metallic Silver) (F5-5600J3636gx2-TZ5RS),17900,1,0,g.skill,Ram,JIB
8GB (4GBX2) DDR3 1600mhz Ram (memory) Kingston Fury Beast DDR3 (Black) (KF316C10BBK2/8),2590,18,0,kingston,Ram,JIB
4GB (4GBX1) DDR3L 1600MHz RAM (memory) Kingston Value Ram (KVR16LN11/4WP),1190,26,0,kingston,Ram,JIB
16GB (8GBX2) DDR5 6000mhz Ram (memory) Kingston Fury Beast DDR5 (Black) (KF560C40BBK2-16),4990,37,0,kingston,Ram,JIB
8GB (8GBX1) DDR3L 1600MHz RAM (memory) Kingston Value Ram (KVR16LN11/8WP),1890,30,0,kingston,Ram,JIB
16GB (8GBX2) DDR4 3600MHz RAM (memory) Corsair Vengeance RGB Pro SL (Black) (CMH16GX4M2D3600C18),3290,26,0,corsair,Ram,JIB
32GB (16GBX2) DDR5 5200MHz RAM (memory) APACER NOX DDR5 (AH5U32G52C502MBAA),13200,7,0,apacer,Ram,JIB
16GB (8GBX2) DDR3 1600mhz Ram (memory) Kingston Fury Beast (Red) (KF316C10BRK2/16),4690,15,0,kingston,Ram,JIB
8GB (8GBX1) DDR3 1600mhz Ram (memory) Kingston Fury Beast DDR3 (Blue) (KF316C10B/8),2290,33,0,kingston,Ram,JIB
16GB (16GBX1) DDR5 4800MHz RAM (memory) Kingston Valueram (KVR48U40BS8-16),3290,10,0,kingston,Ram,JIB
32GB (16GBX2) DDR5 6400MHz RAM (memory) G.skill Trident Z5 RGB (Metallic Silver) (F5-600J3239G16gx2-TZ5RS),26900,9,0,g.skill,Ram,JIB
32GB (16GBX2) DDR4 3200mhz Ram (memory) APACER GOLDEN PANTHER (AH4U32G32C2827GAA-2),5790,28,0,apacer,Ram,JIB
32GB (16GBX2) DDR5 5600MHz RAM (memory) Kingston Fury Beast DDR5 (Black) (KF556C40BBK2-32),9590,44,0,kingston,Ram,JIB
16GB (16GBX1) DDR4 2666MHz RAM (memory) Kingston Fury Beast DDR4 (Black) (KF426C16BB/16),2390,61,0,kingston,Ram,JIB
64GB (16GBX4) DDR4 3600MHz RAM (memory) G.skill Trident Z Royal Elite (Silver) (F4-3600C16Q-64GTESC),25400,5,0,g.skill,Ram,JIB
32GB (16GBX2) DDR5 5200mhz Ram (memory) Kingston Fury Beast DDR5 RGB (Black) (KF552C40BBAK2-32),7990,33,0,kingston,Ram,JIB
32GB (16GBX2) DDR4 3600MHz RAM (memory) Corsair Vengeance RGB Pro SL (Black) (CMH32GX4M2D3600C18),4990,33,0,corsair,Ram,JIB
32GB (32GBX1) DDR4 2666MHz RAM (memory) Kingston Value Ram (KVR26N19D8/32),4290,44,1,kingston,Ram,JIB
32GB (16GBX2) DDR5 5600MHz Ram (memory) Corsair Vengeance DDR5 (Black) (CMK32GX5M2B5600C36),7790,23,0,corsair,Ram,JIB
32GB (16GBX2) DDR5 6000mhz Ram (memory) Kingston Fury Beast DDR5 (Black) (KF560C40BBK2-32),10900,43,0,kingston,Ram,JIB
4GB (4GBX1) DDR3 1600mhz Ram (memory) Kingston Fury Beast DDR3 (Black) (KF316C10BB/4),1290,36,0,kingston,Ram,JIB
32GB (32GBX1) DDR4 3200mhz Ram (memory) Kingston (KVR32N22D8/32),4290,59,0,kingston,Ram,JIB
64GB (16GBX4) DDR4 3600MHz RAM (memory) CORSAIR VENGEANCE Pro RGB (Black) (CMH64GX4D3600C18),15500,9,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 3200mhz Ram (memory) Kingston Fury Beast DDR4 (Black) (KF432C16BBK2/32),4290,61,0,kingston,Ram,JIB
16GB (8GBX2) DDR4 3600MHz Ram,3440,12,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 2666MHz RAM (memory) Kingston Fury Renegade DDR4 (Black) (KF426C13RB1K2/32),4590,33,0,kingston,Ram,JIB
16GB (8GBX2) DDR4 3600MHz RAM (memory) Kingston Fury Beast DDR4 (Black) (KF436C17BBK2/16),2390,76,5,kingston,Ram,JIB
16GB (8GBX2) DDR5 5200mhz Ram (memory) Kingston Fury Beast DDR5 (Black) (KF552C40BBK2-16),4390,62,0,kingston,Ram,JIB
64GB (32GBX2) DDR4 3600MHz RAM (memory) CORSAIR VENGEANCE RGB RS (Black) (CMG64GX4M2D3600C18),14900,20,0,corsair,Ram,JIB
64GB (16GBX4) DDR4 3600MHz RAM (memory) Corsair Vengeance RGB Pro SL (White) (CMH64GX4M4D3600C18W),14500,7,0,corsair,Ram,JIB
32GB (16GBX2) DDR4 3600MHz RAM (memory) Kingston Fury Beast DDR4 (Black) (KF436C18BBK2/32),4790,99,0,kingston,Ram,JIB
8GB (8GBX1) DDR3 1600mhz Ram (memory) Kingston Fury Beast DDR3 (Black) (KF316C10BB/8),2290,43,0,kingston,Ram,JIB
16GB (16GBX1) DDR4 3200mhz Ram (memory) Kingston Fury Beast DDR4 (Black) (KF432C16BB/16),2450,138,0,kingston,Ram,JIB
16GB (8GBX2) DDR5 5200mhz Ram (memory) Kingston Fury Beast DDR5 RGB (Black) (KF552C40BBAK2-16),4190,64,0,kingston,Ram,JIB
