Brand,Model,Model_codename,Core,Thread,Source,Price,Rating,Sold
AMD,A10,9700,4,4,JIB,2350,5,20
AMD,A8,9600,4,4,JIB,1990,5,12
AMD,RYZEN 3,1200,4,4,JIB,2740,4.6,8
AMD,RYZEN 3,3100,4,8,JIB,3550,5,5
AMD,RYZEN 3,3200G,4,4,JIB,3490,5,77
AMD,RYZEN 3,4100,4,8,JIB,2550,2.5,60
AMD,RYZEN 5,3500,6,6,JIB,5640,4.9,14
AMD,RYZEN 5,3500X,6,6,JIB,5590,5,11
AMD,RYZEN 5,3600,6,12,JIB,5760,4.8,96
AMD,RYZEN 5,3600XT,6,12,JIB,8390,4,2
AMD,RYZEN 5,4500,6,12,JIB,3790,0,68
AMD,RYZEN 5,4600G,6,12,JIB,3950,2.5,75
AMD,RYZEN 5,5500,6,12,JIB,5290,0,60
AMD,RYZEN 5,5600,6,12,JIB,5625,2.5,62
AMD,RYZEN 5,5600G,6,12,JIB,5830,4.8,34
AMD,RYZEN 5,5600X,6,12,JIB,6360,5,131
AMD,RYZEN 5,5950X,6,12,JIB,12660,0,0
AMD,RYZEN 7,2700X,8,16,JIB,6990,5,53
AMD,RYZEN 7,5700G,8,16,JIB,10470,5,2
AMD,RYZEN 7,5700X,8,16,JIB,10590,5,11
AMD,RYZEN 7,5800X,8,16,JIB,9590,4.9,37
AMD,RYZEN 9,5900X,12,24,JIB,12060,5,30
AMD,RYZEN 9,5950X,16,32,JIB,19450,4.7,6
INTEL,CELERON,G5900,2,2,JIB,1350,5,3
INTEL,CELERON,G6900,2,2,JIB,2045,2.5,38
INTEL,CORE I3,10100,4,8,JIB,4210,4.9,54
INTEL,CORE I3,10100F,4,8,JIB,2750,5,148
INTEL,CORE I3,10105,4,8,JIB,4440,5,6
INTEL,CORE I3,10105F,4,8,JIB,2890,4.9,48
INTEL,CORE I3,12100,4,8,JIB,5150,4.8,22
INTEL,CORE I3,12100F,4,8,JIB,3820,4.9,41
INTEL,CORE I3,9100,4,4,JIB,3990,5,9
INTEL,CORE I5,10400,6,12,JIB,5370,4.9,77
INTEL,CORE I5,10400F,6,12,JIB,4390,5,117
INTEL,CORE I5,10500,6,12,JIB,7950,5,10
INTEL,CORE I5,10600,6,12,JIB,8190,4.5,4
INTEL,CORE I5,10600K,6,12,JIB,9340,2.5,4
INTEL,CORE I5,10600KF,6,12,JIB,7490,5,3
INTEL,CORE I5,11400,6,12,JIB,6390,0,9
INTEL,CORE I5,11400F,6,12,JIB,5770,5,1
INTEL,CORE I5,11500,6,12,JIB,8110,5,5
INTEL,CORE I5,11600,6,12,JIB,8290,0,1
INTEL,CORE I5,11600K,6,12,JIB,7990,5,5
INTEL,CORE I5,11600KF,6,12,JIB,9400,5,2
INTEL,CORE I5,12400,6,12,JIB,7870,4.9,30
INTEL,CORE I5,12400F,6,12,JIB,6870,5,27
INTEL,CORE I5,12500,6,12,JIB,8790,4.8,32
INTEL,CORE I5,12600,6,12,JIB,9600,5,26
INTEL,CORE I5,12600K,10,16,JIB,11860,5,34
INTEL,CORE I5,12600KF,10,16,JIB,10750,5,11
INTEL,CORE I5,7500,4,4,JIB,7450,0,0
INTEL,CORE I5,8400,6,6,JIB,6090,4.8,25
INTEL,CORE I5,9400,6,6,JIB,6150,4.3,11
INTEL,CORE I5,9500F,6,6,JIB,5690,5,2
INTEL,CORE I5,9600,6,6,JIB,7890,0,0
INTEL,CORE I5,9600KF,6,6,JIB,6390,4.7,39
INTEL,CORE I7,10700F,8,16,JIB,8990,5,11
INTEL,CORE I7,10700KF,8,16,JIB,10500,4.9,15
INTEL,CORE I7,11700F,8,16,JIB,9900,5,6
INTEL,CORE I7,11700KF,8,16,JIB,10900,5,8
INTEL,CORE I7,12700,12,20,JIB,13960,5,30
INTEL,CORE I7,12700F,12,20,JIB,12770,4.9,29
INTEL,CORE I7,12700K,12,20,JIB,16950,5,15
INTEL,CORE I7,12700KF,12,20,JIB,14980,5,6
INTEL,CORE I7,9700,8,8,JIB,10900,5,1
INTEL,CORE I7,9700F,8,8,JIB,10500,4.5,9
INTEL,CORE I9,11900K,8,16,JIB,21940,5,6
INTEL,CORE I9,11900KF,8,16,JIB,21350,0,1
INTEL,CORE I9,12900,16,24,JIB,19625,0,35
INTEL,CORE I9,12900F,16,24,JIB,20205,0,22
INTEL,CORE I9,12900K,16,24,JIB,24870,5,8
INTEL,CORE I9,12900KF,16,24,JIB,22820,0,1
INTEL,CORE I9,12900KS,16,24,JIB,31690,0,2
INTEL,PENTIUM,G6400,2,4,JIB,2150,4.9,38
INTEL,PENTIUM,G6405,2,4,JIB,2160,4.9,210
INTEL,PENTIUM,G6500,2,4,JIB,2790,0,0
INTEL,PENTIUM,G7400,2,4,JIB,2840,0,31
