Brand,Model,Model_codename,Core,Thread,Source,Price,Rating,Sold
AMD,RYZEN 5,3500X,6,12,Speed Gaming,5790,0,0
AMD,RYZEN 5,5600X,6,12,Speed Gaming,8490,0,0
AMD,RYZEN 7,2700X,8,16,Speed Gaming,9900,0,0
AMD,RYZEN 7,5800X,8,16,Speed Gaming,12490,0,1
AMD,RYZEN 9,3900X,12,24,Speed Gaming,18500,5,4
AMD,RYZEN 9,5900X,12,24,Speed Gaming,16900,0,0
INTEL,CORE I3,10100F,4,8,Speed Gaming,2790,5,18
INTEL,CORE I3,10105,4,8,Speed Gaming,4190,5,4
INTEL,CORE I3,10105F,4,8,Speed Gaming,3390,4.5,14
INTEL,CORE I5,10400F,6,12,Speed Gaming,5590,0,0
INTEL,CORE I5,11400,6,12,Speed Gaming,7190,5,4
INTEL,CORE I5,11400F,6,12,Speed Gaming,5690,1,1
INTEL,CORE I5,11500,6,12,Speed Gaming,7790,0,0
INTEL,CORE I5,11600,6,12,Speed Gaming,8290,0,0
INTEL,CORE I5,11600KF,6,12,Speed Gaming,8990,0,0
INTEL,CORE I5,12500,6,12,Speed Gaming,8290,5,4
INTEL,CORE I5,12600,6,12,Speed Gaming,9190,5,3
INTEL,CORE I5,12600K,10,16,Speed Gaming,11900,5,3
INTEL,CORE I5,6500,4,4,Speed Gaming,7390,0,0
INTEL,CORE I7,11700,8,16,Speed Gaming,12600,0,1
INTEL,CORE I7,11700K,8,16,Speed Gaming,13900,0,0
INTEL,CORE I7,12700,12,20,Speed Gaming,14500,5,4
INTEL,CORE I7,12700K,12,20,Speed Gaming,16690,0,1
INTEL,CORE I7,12700KF,12,20,Speed Gaming,15700,0,0
INTEL,CORE I7,13700F,16,24,Speed Gaming,15200,0,0
INTEL,CORE I7,9700KF,8,16,Speed Gaming,9500,4.8,5
INTEL,CORE I9,9900,8,16,Speed Gaming,15400,5,1
INTEL,PENTIUM,G6400,2,4,Speed Gaming,2190,4.8,38
INTEL,PENTIUM,G6405,2,4,Speed Gaming,2290,5,2
